Price,Close,High,Low,Open,Volume
Ticker,ASAI3.SA,ASAI3.SA,ASAI3.SA,ASAI3.SA,ASAI3.SA
Date,,,,,
2025-09-24,9.6899995803833,9.930000305175781,9.680000305175781,9.869999885559082,14926700
2025-09-25,9.170000076293945,9.420000076293945,9.0600004196167,9.390000343322754,60457000
2025-09-26,9.350000381469727,9.399999618530273,9.119999885559082,9.25,18686400
2025-09-29,9.4399995803833,9.680000305175781,9.390000343322754,9.680000305175781,13813700
2025-09-30,9.510000228881836,9.600000381469727,9.319999694824219,9.600000381469727,15931400
2025-10-01,9.420000076293945,9.569999694824219,9.34000015258789,9.510000228881836,10736300
2025-10-02,9.260000228881836,9.430000305175781,9.09000015258789,9.380000114440918,17285700
2025-10-03,9.0600004196167,9.270000457763672,9.010000228881836,9.229999542236328,24871500
2025-10-06,8.979999542236328,9.079999923706055,8.84000015258789,9.0600004196167,16182100
2025-10-07,8.729999542236328,8.949999809265137,8.649999618530273,8.90999984741211,38266900
2025-10-08,8.649999618530273,8.890000343322754,8.569999694824219,8.789999961853027,18171500
2025-10-09,8.369999885559082,8.739999771118164,8.359999656677246,8.6899995803833,17471000
2025-10-10,8.220000267028809,8.430000305175781,8.050000190734863,8.40999984741211,24917700
2025-10-13,8.050000190734863,8.350000381469727,8.0,8.300000190734863,23607700
2025-10-14,8.1899995803833,8.279999732971191,7.940000057220459,8.010000228881836,16114300
2025-10-15,8.680000305175781,8.760000228881836,8.140000343322754,8.210000038146973,33819400
2025-10-16,8.369999885559082,8.680000305175781,8.300000190734863,8.600000381469727,16532300
2025-10-17,8.420000076293945,8.5600004196167,8.260000228881836,8.300000190734863,15293800
2025-10-20,8.420000076293945,8.529999732971191,8.270000457763672,8.420000076293945,15150200
2025-10-21,8.470000267028809,8.520000457763672,8.359999656677246,8.399999618530273,13390500
2025-10-22,7.869999885559082,8.199999809265137,7.829999923706055,8.199999809265137,45558800
2025-10-23,8.119999885559082,8.210000038146973,7.849999904632568,7.960000038146973,24592600
2025-10-24,8.229999542236328,8.479999542236328,8.119999885559082,8.180000305175781,13684700
