Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,ASAI3.SA,GMAT3.SA,ASAI3.SA,GMAT3.SA,ASAI3.SA,GMAT3.SA,ASAI3.SA,GMAT3.SA,ASAI3.SA,GMAT3.SA
Date,,,,,,,,,,
2025-09-24,9.6899995803833,6.985955715179443,9.930000305175781,7.0651166116040685,9.680000305175781,6.95627061493829,9.869999885559082,7.015641287256758,14926700,4284100
2025-09-25,9.170000076293945,6.847424030303955,9.420000076293945,7.0156411682714,9.0600004196167,6.837528682500621,9.390000343322754,6.956270496959858,60457000,7862700
2025-09-26,9.350000381469727,6.860000133514404,9.399999618530273,7.110000133514404,9.119999885559082,6.760000228881836,9.25,7.110000133514404,18686400,6398400
2025-09-29,9.4399995803833,6.989999771118164,9.680000305175781,7.010000228881836,9.390000343322754,6.909999847412109,9.680000305175781,6.920000076293945,13813700,4507000
2025-09-30,9.510000228881836,6.949999809265137,9.600000381469727,7.019999980926514,9.319999694824219,6.909999847412109,9.600000381469727,7.019999980926514,15931400,5340000
2025-10-01,9.420000076293945,6.889999866485596,9.569999694824219,6.980000019073486,9.34000015258789,6.849999904632568,9.510000228881836,6.96999979019165,10736300,4020100
2025-10-02,9.260000228881836,6.840000152587891,9.430000305175781,6.920000076293945,9.09000015258789,6.800000190734863,9.380000114440918,6.849999904632568,17285700,2585400
2025-10-03,9.0600004196167,6.840000152587891,9.270000457763672,6.889999866485596,9.010000228881836,6.809999942779541,9.229999542236328,6.840000152587891,24871500,5409600
2025-10-06,8.979999542236328,6.659999847412109,9.079999923706055,6.880000114440918,8.84000015258789,6.659999847412109,9.0600004196167,6.840000152587891,16182100,5223900
2025-10-07,8.729999542236328,6.449999809265137,8.949999809265137,6.650000095367432,8.649999618530273,6.380000114440918,8.90999984741211,6.650000095367432,38266900,5932300
2025-10-08,8.649999618530273,6.460000038146973,8.890000343322754,6.53000020980835,8.569999694824219,6.429999828338623,8.789999961853027,6.460000038146973,18171500,2236400
2025-10-09,8.369999885559082,6.380000114440918,8.739999771118164,6.510000228881836,8.359999656677246,6.329999923706055,8.6899995803833,6.489999771118164,17471000,3445100
2025-10-10,8.220000267028809,6.340000152587891,8.430000305175781,6.420000076293945,8.050000190734863,6.269999980926514,8.40999984741211,6.420000076293945,24917700,2248400
2025-10-13,8.050000190734863,6.309999942779541,8.350000381469727,6.380000114440918,8.0,6.269999980926514,8.300000190734863,6.340000152587891,23607700,2295700
2025-10-14,8.1899995803833,6.199999809265137,8.279999732971191,6.309999942779541,7.940000057220459,6.150000095367432,8.010000228881836,6.309999942779541,16114300,6209500
2025-10-15,8.680000305175781,6.25,8.760000228881836,6.320000171661377,8.140000343322754,6.130000114440918,8.210000038146973,6.25,33819400,5985000
2025-10-16,8.369999885559082,6.170000076293945,8.680000305175781,6.230000019073486,8.300000190734863,6.110000133514404,8.600000381469727,6.190000057220459,16532300,3680500
2025-10-17,8.420000076293945,6.210000038146973,8.5600004196167,6.260000228881836,8.260000228881836,6.090000152587891,8.300000190734863,6.170000076293945,15293800,2459200
2025-10-20,8.420000076293945,6.269999980926514,8.529999732971191,6.329999923706055,8.270000457763672,6.21999979019165,8.420000076293945,6.239999771118164,15150200,2760600
2025-10-21,8.470000267028809,6.21999979019165,8.520000457763672,6.329999923706055,8.359999656677246,6.170000076293945,8.399999618530273,6.239999771118164,13390500,1930400
2025-10-22,7.869999885559082,6.239999771118164,8.199999809265137,6.300000190734863,7.829999923706055,6.159999847412109,8.199999809265137,6.25,45558800,8578900
2025-10-23,8.119999885559082,6.28000020980835,8.210000038146973,6.340000152587891,7.849999904632568,6.239999771118164,7.960000038146973,6.28000020980835,24592600,3159900
2025-10-24,8.229999542236328,6.309999942779541,8.479999542236328,6.369999885559082,8.119999885559082,6.269999980926514,8.180000305175781,6.28000020980835,13684700,1245900
